[0.000000] (-) TimerEvent: {}
[0.000671] (-) JobUnselected: {'identifier': 'chomp_motion_planner'}
[0.001638] (-) JobUnselected: {'identifier': 'gazebo_grasp_plugin'}
[0.001721] (-) JobUnselected: {'identifier': 'gazebo_ros2_control'}
[0.001789] (-) JobUnselected: {'identifier': 'gazebo_ros2_control_demos'}
[0.001855] (-) JobUnselected: {'identifier': 'gazebo_version_helpers'}
[0.001920] (-) JobUnselected: {'identifier': 'moveit'}
[0.002008] (-) JobUnselected: {'identifier': 'moveit2_scripts'}
[0.002573] (-) JobUnselected: {'identifier': 'moveit_chomp_optimizer_adapter'}
[0.002720] (-) JobUnselected: {'identifier': 'moveit_common'}
[0.002794] (-) JobUnselected: {'identifier': 'moveit_configs_utils'}
[0.003301] (-) JobUnselected: {'identifier': 'moveit_core'}
[0.003458] (-) JobUnselected: {'identifier': 'moveit_hybrid_planning'}
[0.003574] (-) JobUnselected: {'identifier': 'moveit_kinematics'}
[0.003678] (-) JobUnselected: {'identifier': 'moveit_planners'}
[0.003975] (-) JobUnselected: {'identifier': 'moveit_planners_chomp'}
[0.004044] (-) JobUnselected: {'identifier': 'moveit_planners_ompl'}
[0.004107] (-) JobUnselected: {'identifier': 'moveit_plugins'}
[0.004170] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_ikfast_manipulator_plugin'}
[0.004235] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_moveit_config'}
[0.015718] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_pg70_support'}
[0.015813] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_support'}
[0.015871] (-) JobUnselected: {'identifier': 'moveit_ros'}
[0.015924] (-) JobUnselected: {'identifier': 'moveit_ros_benchmarks'}
[0.015973] (-) JobUnselected: {'identifier': 'moveit_ros_control_interface'}
[0.016022] (-) JobUnselected: {'identifier': 'moveit_ros_move_group'}
[0.016072] (-) JobUnselected: {'identifier': 'moveit_ros_occupancy_map_monitor'}
[0.016121] (-) JobUnselected: {'identifier': 'moveit_ros_perception'}
[0.016169] (-) JobUnselected: {'identifier': 'moveit_ros_planning'}
[0.016221] (-) JobUnselected: {'identifier': 'moveit_ros_planning_interface'}
[0.016271] (-) JobUnselected: {'identifier': 'moveit_ros_robot_interaction'}
[0.016324] (-) JobUnselected: {'identifier': 'moveit_ros_visualization'}
[0.016376] (-) JobUnselected: {'identifier': 'moveit_ros_warehouse'}
[0.016425] (-) JobUnselected: {'identifier': 'moveit_runtime'}
[0.016474] (-) JobUnselected: {'identifier': 'moveit_servo'}
[0.016515] (-) JobUnselected: {'identifier': 'moveit_setup_app_plugins'}
[0.016564] (-) JobUnselected: {'identifier': 'moveit_setup_assistant'}
[0.016614] (-) JobUnselected: {'identifier': 'moveit_setup_controllers'}
[0.016662] (-) JobUnselected: {'identifier': 'moveit_setup_core_plugins'}
[0.016709] (-) JobUnselected: {'identifier': 'moveit_setup_framework'}
[0.016757] (-) JobUnselected: {'identifier': 'moveit_setup_srdf_plugins'}
[0.016805] (-) JobUnselected: {'identifier': 'moveit_simple_controller_manager'}
[0.016854] (-) JobUnselected: {'identifier': 'my_moveit2_config'}
[0.016901] (-) JobUnselected: {'identifier': 'my_moveit_config'}
[0.016952] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner'}
[0.017002] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner_testutils'}
[0.017052] (-) JobUnselected: {'identifier': 'rg2_gripper_description'}
[0.017100] (-) JobUnselected: {'identifier': 'robotiq_85_description'}
[0.017149] (-) JobUnselected: {'identifier': 'robotiq_85_driver'}
[0.017198] (-) JobUnselected: {'identifier': 'robotiq_85_gripper'}
[0.017253] (-) JobUnselected: {'identifier': 'robotiq_85_msgs'}
[0.017301] (-) JobUnselected: {'identifier': 'robotnik_sensors'}
[0.017357] (-) JobUnselected: {'identifier': 'robotnik_sensors_gazebo'}
[0.017404] (-) JobUnselected: {'identifier': 'ros2test'}
[0.017453] (-) JobUnselected: {'identifier': 'ros_testing'}
[0.017501] (-) JobUnselected: {'identifier': 'simple_grasping'}
[0.017549] (-) JobUnselected: {'identifier': 'test2_moveit_config'}
[0.017597] (-) JobUnselected: {'identifier': 'test_moveit_config'}
[0.017644] (-) JobUnselected: {'identifier': 'the_construct_office_gazebo'}
[0.017713] (-) JobUnselected: {'identifier': 'ur3e_moveit_config'}
[0.017762] (-) JobUnselected: {'identifier': 'ur_description'}
[0.017811] (-) JobUnselected: {'identifier': 'ur_simulation_gazebo'}
[0.017868] (gazebo_grasp_plugin_ros) JobQueued: {'identifier': 'gazebo_grasp_plugin_ros', 'dependencies': OrderedDict([('gazebo_version_helpers', '/home/user/ros2_ws/install/gazebo_version_helpers'), ('gazebo_grasp_plugin', '/home/user/ros2_ws/install/gazebo_grasp_plugin')])}
[0.017938] (gazebo_grasp_plugin_ros) JobStarted: {'identifier': 'gazebo_grasp_plugin_ros'}
[0.064531] (gazebo_grasp_plugin_ros) JobEnded: {'identifier': 'gazebo_grasp_plugin_ros', 'rc': 1}
[0.066783] (-) EventReactorShutdown: {}
